timestamp,open,high,low,close,volume
2019-09-06 16:00:00,139.1300,139.2400,139.0700,139.1300,473650
2019-09-06 15:59:00,139.0200,139.1500,139.0200,139.1250,180820
2019-09-06 15:58:00,139.0300,139.0500,139.0200,139.0250,114889
2019-09-06 15:57:00,139.0299,139.0750,138.9950,139.0350,154984
2019-09-06 15:56:00,139.1100,139.1100,138.9850,139.0275,215538
2019-09-06 15:55:00,139.1600,139.3200,139.1100,139.1200,182346
2019-09-06 15:54:00,139.1700,139.2100,139.1450,139.1600,157694
2019-09-06 15:53:00,139.1800,139.2100,139.1550,139.1700,58933
2019-09-06 15:52:00,139.1400,139.1900,139.1250,139.1850,78663
2019-09-06 15:51:00,139.2550,139.2550,139.1400,139.1400,60250
2019-09-06 15:50:00,139.1700,139.2600,139.1550,139.2600,112578
2019-09-06 15:49:00,139.2850,139.2900,139.1700,139.1700,50623
2019-09-06 15:48:00,139.3200,139.3200,139.2600,139.2900,43662
2019-09-06 15:47:00,139.3600,139.3700,139.3100,139.3278,60974
2019-09-06 15:46:00,139.3600,139.3800,139.3300,139.3500,34852
2019-09-06 15:45:00,139.4100,139.4100,139.3400,139.3600,47259
2019-09-06 15:44:00,139.4500,139.4700,139.4050,139.4050,33802
2019-09-06 15:43:00,139.4800,139.5000,139.4500,139.4500,23569
2019-09-06 15:42:00,139.5100,139.5100,139.4660,139.4700,49538
2019-09-06 15:41:00,139.5100,139.5300,139.4700,139.5100,47239
2019-09-06 15:40:00,139.5000,139.5400,139.4900,139.5100,30551
2019-09-06 15:39:00,139.5100,139.5150,139.4950,139.5000,20532
2019-09-06 15:38:00,139.5100,139.5500,139.4901,139.5100,32555
2019-09-06 15:37:00,139.5800,139.5800,139.4900,139.5150,43919
2019-09-06 15:36:00,139.6500,139.6700,139.5700,139.5766,50833
2019-09-06 15:35:00,139.6350,139.6800,139.6350,139.6500,41628
2019-09-06 15:34:00,139.6368,139.6600,139.6300,139.6400,36333
2019-09-06 15:33:00,139.6700,139.6900,139.6300,139.6342,19378
2019-09-06 15:32:00,139.6900,139.7000,139.6600,139.6800,33043
2019-09-06 15:31:00,139.6400,139.6900,139.6200,139.6800,53186
2019-09-06 15:30:00,139.6250,139.6453,139.6200,139.6350,31235
2019-09-06 15:29:00,139.6250,139.6500,139.5950,139.6300,36447
2019-09-06 15:28:00,139.5900,139.6500,139.5900,139.6400,33870
2019-09-06 15:27:00,139.5700,139.6093,139.5650,139.5950,29340
2019-09-06 15:26:00,139.5450,139.6000,139.5400,139.5800,31231
2019-09-06 15:25:00,139.5550,139.5565,139.5200,139.5500,22251
2019-09-06 15:24:00,139.4900,139.5566,139.4700,139.5566,47382
2019-09-06 15:23:00,139.4800,139.5000,139.4700,139.4900,53745
2019-09-06 15:22:00,139.5200,139.5400,139.4800,139.4800,55123
2019-09-06 15:21:00,139.5681,139.5800,139.5200,139.5200,45128
2019-09-06 15:20:00,139.5400,139.5700,139.5350,139.5605,30594
2019-09-06 15:19:00,139.5200,139.5700,139.5000,139.5450,37188
2019-09-06 15:18:00,139.5350,139.5600,139.5200,139.5300,30402
2019-09-06 15:17:00,139.5400,139.5600,139.5200,139.5350,46771
2019-09-06 15:16:00,139.5600,139.5750,139.5300,139.5400,26548
2019-09-06 15:15:00,139.5450,139.5700,139.5220,139.5650,26457
2019-09-06 15:14:00,139.5400,139.5500,139.4900,139.5400,29014
2019-09-06 15:13:00,139.5550,139.5700,139.5350,139.5450,24402
2019-09-06 15:12:00,139.6050,139.6150,139.5450,139.5533,62756
2019-09-06 15:11:00,139.6000,139.6500,139.5950,139.6000,36655
2019-09-06 15:10:00,139.6550,139.6684,139.5950,139.6000,33666
2019-09-06 15:09:00,139.6350,139.7000,139.6350,139.6700,114320
2019-09-06 15:08:00,139.6850,139.7100,139.6350,139.6400,33978
2019-09-06 15:07:00,139.6250,139.7000,139.6150,139.6850,66569
2019-09-06 15:06:00,139.6000,139.6300,139.5900,139.6300,15871
2019-09-06 15:05:00,139.5650,139.6000,139.5600,139.5950,32772
2019-09-06 15:04:00,139.5759,139.5800,139.5400,139.5700,42364
2019-09-06 15:03:00,139.5600,139.6200,139.5600,139.5750,44623
2019-09-06 15:02:00,139.5800,139.5900,139.5300,139.5690,36641
2019-09-06 15:01:00,139.6300,139.6300,139.5800,139.5800,29620
2019-09-06 15:00:00,139.6300,139.6700,139.6100,139.6400,67950
2019-09-06 14:59:00,139.5650,139.6400,139.5600,139.6300,27211
2019-09-06 14:58:00,139.5850,139.6100,139.5650,139.5650,27041
2019-09-06 14:57:00,139.6000,139.6000,139.5600,139.5800,26701
2019-09-06 14:56:00,139.6000,139.6200,139.5900,139.6000,19434
2019-09-06 14:55:00,139.6289,139.6299,139.5800,139.6067,20174
